Tweet_count,Username,Text,Created_At,Retweets,Likes
35,Kick_Champ,Several people have reported rashes and skin irritation after using Kai Cenat's 'Tone' skincare products 😳 https://t.co/0XUpIoTYyh,Mon Mar 10 21:05:13 +0000 2025,200,12208
36,ROCK__X7,Agent just took out Kai Cenat’s camera 😂🎥 https://t.co/JBWMY80WoQ,Wed Mar 12 14:39:53 +0000 2025,0,32
37,ViniYLosBlancos,"This charity game was nonstop laughter, wtf is Kai Cenat doing? 😅😁 https://t.co/0jAiA73KgG",Sat Mar 08 20:07:53 +0000 2025,6,17
38,offsznclip,If were being honest Kai Cenat shouldnt be above most of the players on Decent despite his goal he was invisible to be honest🤷‍♂️,Wed Mar 12 18:45:18 +0000 2025,0,4
39,gwrldmedia,"🚨 Jimmy Fallon was shocked to learn that Kai Cenat does 30-day, 24/7 livestreams

https://t.co/dDiLZihwPf",Thu Mar 06 14:46:45 +0000 2025,0,6
40,jkelly21303,"Ishowspeed &amp; Kai Cenat play better football then Keyembe &amp; Bayo #WatfordFC 
 https://t.co/Ihz2uIjDLf",Sat Mar 08 22:31:49 +0000 2025,0,21
41,thesurfertalon,"I DONT KNOW IF ITS JUST ME BUT WOULDNT A NAME CHANGE ON TWITCH HANDLE TO JUST MARLON BE BETTER. IT WOULD BE EASIER TO SEARCH UP, ALSO MORE PRESENTATIVE OF HIM SINCE THE BIGGEST STREAMERS LITERALLY HAVE THEIR OWN NAME AS IF ITS A BRAND EXAMPLES LIKE KAI CENAT, ADIN ROSS AND MORE.",Wed Mar 05 20:37:25 +0000 2025,0,18
42,hznrap__,"Tory Lanez on his new project: 

“I just made seven hundred thousand sittin' in a room, feel like I'm Kai Cenat"" https://t.co/E9YzumPlcW",Sat Mar 08 15:12:20 +0000 2025,2,15
43,Ismail74312116,"""I just made 700 thousand sitting in a room feel like im Kai Cenat"" 🥶🥶

- Tory Lanez new album «PETERSON» on Mawa Interlude
#mafia #ToryLanez #kaicenat #amp",Fri Mar 07 13:29:47 +0000 2025,3,14
44,dreamconvention,"Duke Dennis, Kai Cenat, Fanum, Agent, Chris, and Davis will be bringing the AMP ENERGY to the biggest weekend in gaming, anime, and pop culture! 🎮🔥

From legendary streams to unforgettable moments, you already know these guys are willing to chase their dreams by ANY MEANS https://t.co/ZnVWReY8D3",Sat Mar 08 01:08:04 +0000 2025,34,396
45,Judegistyu,Speed is super athletic. No doubt. And Logan almost went out the same time as speed. But the fact that Kai Cenat had shorter legs and stayed that long is quite impressive,Sat Mar 08 16:27:49 +0000 2025,0,3
46,001Sports_,Kai Cenat scores with an assist from Speed. #sidemenCharityMatch  https://t.co/9CoqS8AwIL,Sat Mar 08 16:46:52 +0000 2025,0,37
47,theScoreesports,"Kai Cenat Sets Are GOATED

#twitch #gaming https://t.co/nYs5qz2ypO",Sat Mar 08 17:00:02 +0000 2025,0,8
48,nevermyfault1,Being a Kai Cenat Hater in 2025..😂 https://t.co/hMDP6ojj43,Thu Mar 06 22:41:35 +0000 2025,1,16
49,FagathaGagatha,Just realised that Kai Cenat and Speed are two different people https://t.co/xb6XVMXdU7,Sat Mar 08 09:48:35 +0000 2025,0,16
50,dances,"Kai Cenat generational talent whooo boy 
hes going to be doing this for the next 30 years of his life whooo boy wow",Thu Mar 06 16:40:07 +0000 2025,0,9
51,CBKTeam,"Kai Cenat is really out here living out Kevin Hart’s MyCareer mode 😂
 https://t.co/UmRaGp4fDO",Thu Mar 06 16:00:37 +0000 2025,0,2
52,ProdByWalkz,KAI CENAT WITH THE STEPOVERS https://t.co/tkU9y8mkfN,Sat Mar 08 15:41:45 +0000 2025,0,2
53,_TrendsWave_,DDG talks about Kai Cenat inspiring him to pray https://t.co/FP4OmaFrVs,Fri Mar 07 18:52:04 +0000 2025,4,6
54,StreamUpdates7,Kai Cenat Talks About How Him And The Amp Created The Word Rizz That Became Popular On The Internet While On The Tonight Show With Jimmy Fallon 😭😭 https://t.co/OTkTPA18zn,Thu Mar 06 05:27:07 +0000 2025,9,32
55,CrossMaul,@NebsGoodTakes Best live action Kai Cenat design,Wed Mar 12 14:02:34 +0000 2025,4,552
56,RareKlutch,"Tory Lanez shouts out Kai Cenat on his new song 'Mawa Interlude X Lunch Tray' 

""I just made seven hundred thousand sittin' in a room, feel like I'm Kai Cenat"" 🔥https://t.co/xpNIPKhWR3",Fri Mar 07 19:43:00 +0000 2025,0,6
57,stinkballs6471,No one person pisses me off more than Kai cenat,Sat Mar 08 22:15:52 +0000 2025,1,6
58,afroballers,SPEED WITH A LOVELY SKILL AND ASSIST TO KAI CENAT FOR THE YOUTUBE ALLSTARS 😮‍💨🔥🔥 https://t.co/JvvwnjugqS,Sat Mar 08 20:38:00 +0000 2025,0,2
59,carolinakidd252,"Kai Cenat corny….love how he’s eatin, but tht nigga corny tho",Thu Mar 06 22:22:07 +0000 2025,2,6
60,PeakyProps,"Don't Shoot Like Kai Cenat Tonight!🙏🏽

Taurean Prince o7.5 Points
1.83/-120/Draftkings | 1 Unit 

💚 if you want another Play! 

- I am 100% expecting some rests here for Milwaukee. But even if there were none, I still think this line is soft.

- Over in 33/60 games this year, https://t.co/BNiVF17kaN",Wed Mar 05 10:22:30 +0000 2025,0,22
61,suayrez,@FearedBuck Kai Cenat’s acting career only about to get crazier https://t.co/XCvXOjhVf6,Wed Mar 12 01:54:34 +0000 2025,0,22
62,adityath2608,This needs to be studied Man 🫨🤯 Speed made a Spectucalar effort to Assist Kai Cenat! Absolute Beauty.,Sat Mar 08 18:54:40 +0000 2025,0,3
63,Dexerto,"LoL streamer Caedrel almost beat Kai Cenat's total viewership in February

This is in large part because of hype around Los Ratones, the LoL team he owns

stats via @StreamsCharts https://t.co/qNBCZzcTSc",Sun Mar 09 04:03:52 +0000 2025,201,13817
64,SlatDontMiss,Tylil calls out Kai Cenat for never making the time to come onto his streams meanwhile he’s been on countless streams for him 👀 https://t.co/pyXY0XmjZf,Mon Mar 03 20:22:40 +0000 2025,1106,59424
65,Aer12th,If kai cenat was a girl she’d be really pretty,Wed Mar 12 16:02:00 +0000 2025,0,2
66,BandzFanon,kai cenat is functionally a figurehead for celebrity idolatry and uses his platform to further bridge the regular person with big names in an attempt to sell himself as a conductor and nothing more than that. everything about him (ON STREAM) seems entirely fake,Mon Mar 10 21:26:43 +0000 2025,17,254
67,CFCJoao_,"Kai Cenat  looking up tutorials on how to score a GOAL…
https://t.co/MUG28bc01E",Mon Mar 10 06:07:59 +0000 2025,2,40
68,SharifKeaton,"This is nothing against Stephen A. Smith or Kai Cenat, but sports television on ESPN is in a different place now.",Thu Mar 06 22:07:12 +0000 2025,0,5
69,OnyxDailyy,Deshae Frost went CRAZY on Kai Cenat after he found out Kai put him on a date with a man😂 https://t.co/bDJ5iGuj8k,Thu Mar 06 18:33:53 +0000 2025,364,9664
70,MUFC_Timm,"Kai Cenat was running like anime characters during the match😭
https://t.co/qvspJy74JX",Wed Mar 12 06:23:16 +0000 2025,2,5
71,senzuservin,@stillboolin u be trying to get a viral video and the same day kai cenat bring fanum on a horse on stream,Sat Mar 08 01:30:23 +0000 2025,334,14628
72,kansasanyhaler,kai cenat and inhaler is a crazy lineup,Wed Mar 05 23:11:46 +0000 2025,0,38
73,Miinty__,Someone tell Kai Cenat that he doesn’t got much longer bein at the top😎 https://t.co/faDFlO8WtD,Sat Mar 08 15:25:25 +0000 2025,0,26
74,ComplexPop,"CeeDee Lamb shouted out Adin Ross, Kai Cenat, Tylil, &amp; Lil Rodney Son when asked which clips he sees. https://t.co/9c6hsAD8WT",Wed Mar 12 20:43:46 +0000 2025,0,7
75,M0THERFLAME,@yoxics Kai Cenat was doin it on First Take talking about LEANDRO BARBOSA 🤣 https://t.co/MIjP8AJp3W,Fri Mar 07 16:34:27 +0000 2025,12,814
76,ROCK__X7,Agent just took out Kai Cenat’s camera 😂🎥 https://t.co/LcBPRJvVAo,Wed Mar 12 14:39:10 +0000 2025,1,33
77,FanDuel,"Speed to Kai Cenat assist 😂🔥
 https://t.co/UDJKj1hKyW",Sun Mar 09 00:12:27 +0000 2025,0,8
78,CFCMino,"GOAL YOUTUBE ALLSTARS!!!!! KAI CENAT SCORES AND MAKES IT 6-8 VS SIDEMEN!!! SPEED ASSIST!!!

#sidemenCharityMatch 

https://t.co/cG8lY6o8cr",Sat Mar 08 16:47:47 +0000 2025,0,14
79,ssj4maurlce,why the fuck is kai cenat on first take in the planet fitness locker room dude https://t.co/Az6KfNJcLe,Thu Mar 06 15:30:14 +0000 2025,0,64
80,mxlcxlmxx,kai cenat open play goal before ishowspeed https://t.co/rOrSDnTFqI,Sat Mar 08 16:46:17 +0000 2025,7,110
81,clippedszn,"Twitch will be raising sub prices by 10% to help fund Kai Cenat’s upcoming subathon ‼️

via @TwichUpdates https://t.co/ieiEAFnU50",Tue Mar 11 23:21:22 +0000 2025,63,6372
82,clippedszn,"NFL star ‘CeeDee Lamb’ shouts out Adin Ross, Kai Cenat, Tylil &amp; Lil Rodney Son 🔥 https://t.co/QTRQ7dGEHb",Wed Mar 12 20:35:42 +0000 2025,30,1241
83,evikuuus,everyone shut the fuck ul why do you mean i stood THIS CLOSE to kai cenat https://t.co/vjyEjlv8aj,Sat Mar 08 18:01:25 +0000 2025,0,5
84,DCFilmNews,"State Farm &amp; DC have launched the newest ad campaign, ‘BATMAN VS BATEMAN.’

The cast includes Jason Bateman, SZA (Catwoman), Kai Cenat, Jordan the Stallion (Commissioner Gordon), &amp; Jake from State Farm. https://t.co/5l6dg66Pet",Wed Mar 12 13:08:53 +0000 2025,123,1097
85,SlatDontMiss,Kai Cenat got emotional thinking Ray was live for the first time since disappearing from the internet but his chat was pranking him 😭💔 https://t.co/43KbVgDJ7i,Wed Mar 12 18:30:34 +0000 2025,34,911
86,StreamersEra,Kai Cenat was in disbelief seeing how much he owed in bills to Chase so scrunched up the letter and told them to find the money elsewhere 😭😭 https://t.co/l2X0M5tXp2,Wed Mar 12 17:37:07 +0000 2025,19,847
87,Real1of1TV,"DDG Says Kai Cenat Inspired Him To Start Praying To God More &amp; Was Shocked When Everything In His Life Started Going In The Right Direction #DDG #KaiCenat
 https://t.co/lnH4oclaE2",Fri Mar 07 19:23:49 +0000 2025,1,6
